block	arm	status	window_d	kind	rep	ms
2	C	REHAB	1	list	1	0.0601
2	C	REHAB	1	count	1	0.0341
2	C	REHAB	1	list	2	0.0647
2	C	REHAB	1	count	2	0.0319
2	C	REHAB	1	list	3	0.0581
2	C	REHAB	1	count	3	0.0327
2	C	REHAB	1	list	4	0.0591
2	C	REHAB	1	count	4	0.0342
2	C	REHAB	1	list	5	0.0587
2	C	REHAB	1	count	5	0.0342
2	C	REHAB	7	list	1	0.0759
2	C	REHAB	7	count	1	0.0691
2	C	REHAB	7	list	2	0.0763
2	C	REHAB	7	count	2	0.0659
2	C	REHAB	7	list	3	0.0782
2	C	REHAB	7	count	3	0.068
2	C	REHAB	7	list	4	0.077
2	C	REHAB	7	count	4	0.0694
2	C	REHAB	7	list	5	0.0761
2	C	REHAB	7	count	5	0.0671
2	C	REHAB	30	list	1	0.108
2	C	REHAB	30	count	1	0.216
2	C	REHAB	30	list	2	0.104
2	C	REHAB	30	count	2	0.326
2	C	REHAB	30	list	3	0.106
2	C	REHAB	30	count	3	0.216
2	C	REHAB	30	list	4	0.104
2	C	REHAB	30	count	4	0.215
2	C	REHAB	30	list	5	0.105
2	C	REHAB	30	count	5	0.217
2	C	REHAB	0	list	1	0.334
2	C	REHAB	0	count	1	1.03
2	C	REHAB	0	list	2	0.316
2	C	REHAB	0	count	2	1.04
2	C	REHAB	0	list	3	0.317
2	C	REHAB	0	count	3	1.04
2	C	REHAB	0	list	4	0.314
2	C	REHAB	0	count	4	1.04
2	C	REHAB	0	list	5	0.314
2	C	REHAB	0	count	5	1.03
2	C	DIET	1	list	1	0.0846
2	C	DIET	1	count	1	0.0569
2	C	DIET	1	list	2	0.0846
2	C	DIET	1	count	2	0.0534
2	C	DIET	1	list	3	0.0885
2	C	DIET	1	count	3	0.0529
2	C	DIET	1	list	4	0.0856
2	C	DIET	1	count	4	0.0557
2	C	DIET	1	list	5	0.0871
2	C	DIET	1	count	5	0.0549
2	C	DIET	7	list	1	0.0966
2	C	DIET	7	count	1	0.182
2	C	DIET	7	list	2	0.0954
2	C	DIET	7	count	2	0.184
2	C	DIET	7	list	3	0.0927
2	C	DIET	7	count	3	0.182
2	C	DIET	7	list	4	0.0942
2	C	DIET	7	count	4	0.184
2	C	DIET	7	list	5	0.0944
2	C	DIET	7	count	5	0.19
2	C	DIET	30	list	1	0.316
2	C	DIET	30	count	1	0.765
2	C	DIET	30	list	2	0.312
2	C	DIET	30	count	2	0.761
2	C	DIET	30	list	3	0.333
2	C	DIET	30	count	3	0.874
2	C	DIET	30	list	4	0.31
2	C	DIET	30	count	4	0.763
2	C	DIET	30	list	5	0.316
2	C	DIET	30	count	5	0.766
2	C	DIET	0	list	1	0.345
2	C	DIET	0	count	1	4.08
2	C	DIET	0	list	2	0.338
2	C	DIET	0	count	2	4
2	C	DIET	0	list	3	0.339
2	C	DIET	0	count	3	3.99
2	C	DIET	0	list	4	0.347
2	C	DIET	0	count	4	3.95
2	C	DIET	0	list	5	0.344
2	C	DIET	0	count	5	4.07
2	C	ADVANCED	1	list	1	0.0799
2	C	ADVANCED	1	count	1	0.088
2	C	ADVANCED	1	list	2	0.0804
2	C	ADVANCED	1	count	2	0.0892
2	C	ADVANCED	1	list	3	0.0811
2	C	ADVANCED	1	count	3	0.0885
2	C	ADVANCED	1	list	4	0.0818
2	C	ADVANCED	1	count	4	0.0889
2	C	ADVANCED	1	list	5	0.0803
2	C	ADVANCED	1	count	5	0.0901
2	C	ADVANCED	7	list	1	0.217
2	C	ADVANCED	7	count	1	0.492
2	C	ADVANCED	7	list	2	0.208
2	C	ADVANCED	7	count	2	0.484
2	C	ADVANCED	7	list	3	0.202
2	C	ADVANCED	7	count	3	0.481
2	C	ADVANCED	7	list	4	0.206
2	C	ADVANCED	7	count	4	0.481
2	C	ADVANCED	7	list	5	0.204
2	C	ADVANCED	7	count	5	0.482
2	C	ADVANCED	30	list	1	0.449
2	C	ADVANCED	30	count	1	1.99
2	C	ADVANCED	30	list	2	0.432
2	C	ADVANCED	30	count	2	1.99
2	C	ADVANCED	30	list	3	0.436
2	C	ADVANCED	30	count	3	2
2	C	ADVANCED	30	list	4	0.426
2	C	ADVANCED	30	count	4	1.98
2	C	ADVANCED	30	list	5	0.43
2	C	ADVANCED	30	count	5	2.02
2	C	ADVANCED	0	list	1	0.336
2	C	ADVANCED	0	count	1	10.9
2	C	ADVANCED	0	list	2	0.348
2	C	ADVANCED	0	count	2	11
2	C	ADVANCED	0	list	3	0.342
2	C	ADVANCED	0	count	3	10.9
2	C	ADVANCED	0	list	4	0.344
2	C	ADVANCED	0	count	4	10.9
2	C	ADVANCED	0	list	5	0.344
2	C	ADVANCED	0	count	5	10.9
2	C	BEGINNER	1	list	1	0.117
2	C	BEGINNER	1	count	1	0.25
2	C	BEGINNER	1	list	2	0.117
2	C	BEGINNER	1	count	2	0.252
2	C	BEGINNER	1	list	3	0.118
2	C	BEGINNER	1	count	3	0.253
2	C	BEGINNER	1	list	4	0.118
2	C	BEGINNER	1	count	4	0.253
2	C	BEGINNER	1	list	5	0.118
2	C	BEGINNER	1	count	5	0.253
2	C	BEGINNER	7	list	1	0.43
2	C	BEGINNER	7	count	1	1.55
2	C	BEGINNER	7	list	2	0.421
2	C	BEGINNER	7	count	2	1.65
2	C	BEGINNER	7	list	3	0.425
2	C	BEGINNER	7	count	3	1.56
2	C	BEGINNER	7	list	4	0.412
2	C	BEGINNER	7	count	4	1.55
2	C	BEGINNER	7	list	5	0.42
2	C	BEGINNER	7	count	5	1.56
2	C	BEGINNER	30	list	1	0.417
2	C	BEGINNER	30	count	1	6.63
2	C	BEGINNER	30	list	2	0.418
2	C	BEGINNER	30	count	2	6.56
2	C	BEGINNER	30	list	3	0.419
2	C	BEGINNER	30	count	3	7.01
2	C	BEGINNER	30	list	4	0.421
2	C	BEGINNER	30	count	4	6.7
2	C	BEGINNER	30	list	5	0.453
2	C	BEGINNER	30	count	5	6.61
2	C	BEGINNER	0	list	1	0.329
2	C	BEGINNER	0	count	1	38.1
2	C	BEGINNER	0	list	2	0.329
2	C	BEGINNER	0	count	2	38.3
2	C	BEGINNER	0	list	3	0.336
2	C	BEGINNER	0	count	3	37.9
2	C	BEGINNER	0	list	4	0.326
2	C	BEGINNER	0	count	4	38.2
2	C	BEGINNER	0	list	5	0.328
2	C	BEGINNER	0	count	5	38
2	B	REHAB	1	list	1	1.03
2	B	REHAB	1	count	1	0.911
2	B	REHAB	1	list	2	1.06
2	B	REHAB	1	count	2	0.913
2	B	REHAB	1	list	3	1.08
2	B	REHAB	1	count	3	0.924
2	B	REHAB	1	list	4	1.1
2	B	REHAB	1	count	4	0.945
2	B	REHAB	1	list	5	1.04
2	B	REHAB	1	count	5	0.939
2	B	REHAB	7	list	1	2.03
2	B	REHAB	7	count	1	5.67
2	B	REHAB	7	list	2	2.01
2	B	REHAB	7	count	2	5.46
2	B	REHAB	7	list	3	1.99
2	B	REHAB	7	count	3	5.54
2	B	REHAB	7	list	4	1.97
2	B	REHAB	7	count	4	5.39
2	B	REHAB	7	list	5	1.95
2	B	REHAB	7	count	5	5.52
2	B	REHAB	30	list	1	2.11
2	B	REHAB	30	count	1	23.1
2	B	REHAB	30	list	2	1.96
2	B	REHAB	30	count	2	22.7
2	B	REHAB	30	list	3	2.05
2	B	REHAB	30	count	3	23
2	B	REHAB	30	list	4	1.94
2	B	REHAB	30	count	4	22.2
2	B	REHAB	30	list	5	1.88
2	B	REHAB	30	count	5	22.3
2	B	REHAB	0	list	1	1.43
2	B	REHAB	0	count	1	37.1
2	B	REHAB	0	list	2	1.49
2	B	REHAB	0	count	2	37.5
2	B	REHAB	0	list	3	1.49
2	B	REHAB	0	count	3	38
2	B	REHAB	0	list	4	1.48
2	B	REHAB	0	count	4	37.6
2	B	REHAB	0	list	5	1.48
2	B	REHAB	0	count	5	37.8
2	B	DIET	1	list	1	0.557
2	B	DIET	1	count	1	0.929
2	B	DIET	1	list	2	0.556
2	B	DIET	1	count	2	0.926
2	B	DIET	1	list	3	0.553
2	B	DIET	1	count	3	0.894
2	B	DIET	1	list	4	0.551
2	B	DIET	1	count	4	0.931
2	B	DIET	1	list	5	0.553
2	B	DIET	1	count	5	0.913
2	B	DIET	7	list	1	0.729
2	B	DIET	7	count	1	5.69
2	B	DIET	7	list	2	0.698
2	B	DIET	7	count	2	5.59
2	B	DIET	7	list	3	0.734
2	B	DIET	7	count	3	5.47
2	B	DIET	7	list	4	0.706
2	B	DIET	7	count	4	5.57
