block	arm	status	window_d	kind	rep	ms
1	B	CANCELLED	0	list	3	4.48
1	B	CANCELLED	0	count	3	21.7
1	B	CANCELLED	0	list	4	4.45
1	B	CANCELLED	0	count	4	22.1
1	B	CANCELLED	0	list	5	4.46
1	B	CANCELLED	0	count	5	21.8
1	B	IN_PROGRESS	1	list	1	0.221
1	B	IN_PROGRESS	1	count	1	0.219
1	B	IN_PROGRESS	1	list	2	0.22
1	B	IN_PROGRESS	1	count	2	0.216
1	B	IN_PROGRESS	1	list	3	0.226
1	B	IN_PROGRESS	1	count	3	0.213
1	B	IN_PROGRESS	1	list	4	0.217
1	B	IN_PROGRESS	1	count	4	0.215
1	B	IN_PROGRESS	1	list	5	0.221
1	B	IN_PROGRESS	1	count	5	0.213
1	B	IN_PROGRESS	7	list	1	0.736
1	B	IN_PROGRESS	7	count	1	1.35
1	B	IN_PROGRESS	7	list	2	0.723
1	B	IN_PROGRESS	7	count	2	1.45
1	B	IN_PROGRESS	7	list	3	0.746
1	B	IN_PROGRESS	7	count	3	1.37
1	B	IN_PROGRESS	7	list	4	0.726
1	B	IN_PROGRESS	7	count	4	1.38
1	B	IN_PROGRESS	7	list	5	0.727
1	B	IN_PROGRESS	7	count	5	1.36
1	B	IN_PROGRESS	30	list	1	5.22
1	B	IN_PROGRESS	30	count	1	5.68
1	B	IN_PROGRESS	30	list	2	5.22
1	B	IN_PROGRESS	30	count	2	5.77
1	B	IN_PROGRESS	30	list	3	5.18
1	B	IN_PROGRESS	30	count	3	5.7
1	B	IN_PROGRESS	30	list	4	5.16
1	B	IN_PROGRESS	30	count	4	5.64
1	B	IN_PROGRESS	30	list	5	5.2
1	B	IN_PROGRESS	30	count	5	5.65
1	B	IN_PROGRESS	0	list	1	4.62
1	B	IN_PROGRESS	0	count	1	58
1	B	IN_PROGRESS	0	list	2	4.41
1	B	IN_PROGRESS	0	count	2	57.5
1	B	IN_PROGRESS	0	list	3	4.42
1	B	IN_PROGRESS	0	count	3	57.1
1	B	IN_PROGRESS	0	list	4	4.42
1	B	IN_PROGRESS	0	count	4	57.6
1	B	IN_PROGRESS	0	list	5	4.47
1	B	IN_PROGRESS	0	count	5	57.2
1	B	COMPLETED	1	list	1	0.393
1	B	COMPLETED	1	count	1	0.669
1	B	COMPLETED	1	list	2	0.387
1	B	COMPLETED	1	count	2	0.662
1	B	COMPLETED	1	list	3	0.393
1	B	COMPLETED	1	count	3	0.667
1	B	COMPLETED	1	list	4	0.391
1	B	COMPLETED	1	count	4	0.651
1	B	COMPLETED	1	list	5	0.393
1	B	COMPLETED	1	count	5	0.651
1	B	COMPLETED	7	list	1	4.18
1	B	COMPLETED	7	count	1	4.47
1	B	COMPLETED	7	list	2	4.52
1	B	COMPLETED	7	count	2	4.44
1	B	COMPLETED	7	list	3	4.18
1	B	COMPLETED	7	count	3	4.48
1	B	COMPLETED	7	list	4	4.22
1	B	COMPLETED	7	count	4	4.51
1	B	COMPLETED	7	list	5	4.23
1	B	COMPLETED	7	count	5	4.48
1	B	COMPLETED	30	list	1	5.12
1	B	COMPLETED	30	count	1	19.2
1	B	COMPLETED	30	list	2	5.15
1	B	COMPLETED	30	count	2	19.4
1	B	COMPLETED	30	list	3	5.04
1	B	COMPLETED	30	count	3	19.1
1	B	COMPLETED	30	list	4	5.08
1	B	COMPLETED	30	count	4	19.1
1	B	COMPLETED	30	list	5	5.07
1	B	COMPLETED	30	count	5	19.3
1	B	COMPLETED	0	list	1	4.32
1	B	COMPLETED	0	count	1	190
1	B	COMPLETED	0	list	2	4.33
1	B	COMPLETED	0	count	2	189
1	B	COMPLETED	0	list	3	4.35
1	B	COMPLETED	0	count	3	192
1	B	COMPLETED	0	list	4	4.36
1	B	COMPLETED	0	count	4	190
1	B	COMPLETED	0	list	5	4.32
1	B	COMPLETED	0	count	5	193
2	B	FAILED	1	list	1	0.158
2	B	FAILED	1	count	1	0.0434
2	B	FAILED	1	list	2	0.146
2	B	FAILED	1	count	2	0.0444
2	B	FAILED	1	list	3	0.146
2	B	FAILED	1	count	3	0.044
2	B	FAILED	1	list	4	0.144
2	B	FAILED	1	count	4	0.0445
2	B	FAILED	1	list	5	0.15
2	B	FAILED	1	count	5	0.0446
2	B	FAILED	7	list	1	0.223
2	B	FAILED	7	count	1	0.134
2	B	FAILED	7	list	2	0.214
2	B	FAILED	7	count	2	0.134
2	B	FAILED	7	list	3	0.21
2	B	FAILED	7	count	3	0.135
2	B	FAILED	7	list	4	0.213
2	B	FAILED	7	count	4	0.134
2	B	FAILED	7	list	5	0.218
2	B	FAILED	7	count	5	0.141
2	B	FAILED	30	list	1	0.334
2	B	FAILED	30	count	1	0.524
2	B	FAILED	30	list	2	0.323
2	B	FAILED	30	count	2	0.529
2	B	FAILED	30	list	3	0.329
2	B	FAILED	30	count	3	0.532
2	B	FAILED	30	list	4	0.322
2	B	FAILED	30	count	4	0.528
2	B	FAILED	30	list	5	0.325
2	B	FAILED	30	count	5	0.518
2	B	FAILED	0	list	1	4.48
2	B	FAILED	0	count	1	5.13
2	B	FAILED	0	list	2	4.47
2	B	FAILED	0	count	2	5.01
2	B	FAILED	0	list	3	4.45
2	B	FAILED	0	count	3	5.03
