dataset	target	arm	query	driving	max_q_access	max_q_all	handler	top_ms	nodes(est/act x loops q)
skew_t34_skew	T34	S0	T4.listForceTime.IN_PROGRESS.w7	exercise_sessions(idx_session_starttime_member)	101.0	101.0	102	0.579	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/101x1 q101.0
skew_t34_skew	T34	S0	T4.count.IN_PROGRESS.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	405	0.486	Aggregate 1/1x1 q1.0 ; Filter 404/404x1 q1.0 ; exercise_sessions:idx_session_status_starttime 404/404x1 q1.0
skew_t34_skew	T34	S0	T4.list.IN_PROGRESS.w30	exercise_sessions(idx_session_status_starttime)	83.8	83.8	20	0.869	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 1677/20x1 q83.8
skew_t34_skew	T34	S0	T4.listForceTime.IN_PROGRESS.w30	exercise_sessions(idx_session_starttime_member)	101.0	101.0	102	0.527	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/101x1 q101.0
skew_t34_skew	T34	S0	T4.count.IN_PROGRESS.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	1678	1.65	Aggregate 1/1x1 q1.0 ; Filter 1677/1677x1 q1.0 ; exercise_sessions:idx_session_status_starttime 1677/1677x1 q1.0
skew_t34_skew	T34	S0	T4.list.IN_PROGRESS.w0	exercise_sessions(idx_session_status_starttime)	2312.9	2312.9	20	7.8	Limit 20/20x1 q1.0 ; Filter 46258/20x1 q2312.9 ; exercise_sessions:idx_session_status_starttime 46258/20x1 q2312.9
skew_t34_skew	T34	S0	T4.listForceTime.IN_PROGRESS.w0	exercise_sessions(idx_session_starttime_member)	5.0	5.0	102	0.446	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/101x1 q5.0
skew_t34_skew	T34	S0	T4.count.IN_PROGRESS.w0	exercise_sessions(idx_session_status_starttime)	2.3	2.3	19947	18.1	Aggregate 1/1x1 q1.0 ; Filter 46258/19946x1 q2.3 ; exercise_sessions:idx_session_status_starttime 46258/19946x1 q2.3
skew_t34_skew	T34	S0	T4.list.COMPLETED.w1	exercise_sessions(idx_session_status_starttime)	9.4	9.4	20	0.238	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 189/20x1 q9.4
skew_t34_skew	T34	S0	T4.listForceTime.COMPLETED.w1	exercise_sessions(idx_session_starttime_member)	27.0	27.0	28	0.146	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/27x1 q27.0
skew_t34_skew	T34	S0	T4.count.COMPLETED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	190	0.214	Aggregate 1/1x1 q1.0 ; Filter 189/189x1 q1.0 ; exercise_sessions:idx_session_status_starttime 189/189x1 q1.0
skew_t34_skew	T34	S0	T4.list.COMPLETED.w7	exercise_sessions(idx_session_status_starttime)	70.7	70.7	20	0.736	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 1414/20x1 q70.7
skew_t34_skew	T34	S0	T4.listForceTime.COMPLETED.w7	exercise_sessions(idx_session_starttime_member)	27.0	27.0	28	0.188	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/27x1 q27.0
skew_t34_skew	T34	S0	T4.count.COMPLETED.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	1415	1.49	Aggregate 1/1x1 q1.0 ; Filter 1414/1414x1 q1.0 ; exercise_sessions:idx_session_status_starttime 1414/1414x1 q1.0
skew_t34_skew	T34	S0	T4.list.COMPLETED.w30	exercise_sessions(idx_session_status_starttime)	286.1	286.1	20	1.84	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 5723/20x1 q286.1
skew_t34_skew	T34	S0	T4.listForceTime.COMPLETED.w30	exercise_sessions(idx_session_starttime_member)	27.0	27.0	28	0.142	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/27x1 q27.0
skew_t34_skew	T34	S0	T4.count.COMPLETED.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	5724	4.59	Aggregate 1/1x1 q1.0 ; Filter 5723/5723x1 q1.0 ; exercise_sessions:idx_session_status_starttime 5723/5723x1 q1.0
